Beginning of Training Log File
[------------- EPOCH 1 -------------]
loss: 456.738281  [   64/3920639]  time: 0.35455822944641113
loss: 128.998047  [64064/3920639]  time: 4.050696134567261
loss: 162.578033  [128064/3920639]  time: 4.072772026062012
loss: 174.966232  [192064/3920639]  time: 4.059717893600464
loss: 119.446915  [256064/3920639]  time: 4.055155992507935
loss: 126.442184  [320064/3920639]  time: 3.993039846420288
loss: 129.042969  [384064/3920639]  time: 4.048060178756714
loss: 181.302658  [448064/3920639]  time: 4.036669969558716
loss: 166.051544  [512064/3920639]  time: 4.03725790977478
loss: 147.538361  [576064/3920639]  time: 3.9680933952331543
loss: 125.077911  [640064/3920639]  time: 4.00951075553894
loss: 132.956451  [704064/3920639]  time: 4.019343137741089
loss: 125.826279  [768064/3920639]  time: 4.092047214508057
loss: 165.465332  [832064/3920639]  time: 4.133171796798706
loss: 122.977768  [896064/3920639]  time: 4.133620977401733
loss: 125.620079  [960064/3920639]  time: 4.183182716369629
loss: 171.646835  [1024064/3920639]  time: 4.299714088439941
loss: 161.301544  [1088064/3920639]  time: 4.0946831703186035
loss: 158.554367  [1152064/3920639]  time: 4.041091203689575
loss: 159.663361  [1216064/3920639]  time: 4.109188079833984
loss: 148.918594  [1280064/3920639]  time: 3.970554828643799
loss: 145.524628  [1344064/3920639]  time: 3.9617578983306885
loss: 157.073944  [1408064/3920639]  time: 3.977015972137451
loss: 138.955582  [1472064/3920639]  time: 4.010174036026001
loss: 122.131798  [1536064/3920639]  time: 3.9929935932159424
loss: 142.647781  [1600064/3920639]  time: 4.036034107208252
loss: 115.798889  [1664064/3920639]  time: 4.038477659225464
loss: 143.293884  [1728064/3920639]  time: 4.033684968948364
loss: 154.860352  [1792064/3920639]  time: 3.941790819168091
loss: 158.559204  [1856064/3920639]  time: 4.019787073135376
loss: 128.102448  [1920064/3920639]  time: 4.016149044036865
loss: 124.388992  [1984064/3920639]  time: 4.009901762008667
loss: 123.136658  [2048064/3920639]  time: 4.039098262786865
loss: 165.599716  [2112064/3920639]  time: 4.032313108444214
loss: 128.907806  [2176064/3920639]  time: 4.045868873596191
loss: 97.350311  [2240064/3920639]  time: 3.984935998916626
loss: 166.956421  [2304064/3920639]  time: 4.069053888320923
loss: 148.159271  [2368064/3920639]  time: 4.074225902557373
loss: 133.075424  [2432064/3920639]  time: 4.094018936157227
loss: 123.339539  [2496064/3920639]  time: 4.167790174484253
loss: 158.400116  [2560064/3920639]  time: 4.040285110473633
loss: 118.141548  [2624064/3920639]  time: 4.071242094039917
loss: 131.698685  [2688064/3920639]  time: 4.06528377532959
loss: 123.143364  [2752064/3920639]  time: 4.0164079666137695
loss: 105.992752  [2816064/3920639]  time: 4.1077880859375
loss: 116.075073  [2880064/3920639]  time: 4.086345434188843
loss: 155.074829  [2944064/3920639]  time: 4.075441837310791
loss: 128.807617  [3008064/3920639]  time: 4.014432907104492
loss: 132.390717  [3072064/3920639]  time: 4.019375801086426
loss: 137.055328  [3136064/3920639]  time: 3.9867818355560303
loss: 125.496902  [3200064/3920639]  time: 4.020118236541748
loss: 150.498047  [3264064/3920639]  time: 3.943925142288208
loss: 142.686462  [3328064/3920639]  time: 3.99985408782959
loss: 130.134430  [3392064/3920639]  time: 3.9763691425323486
loss: 130.270966  [3456064/3920639]  time: 3.996262311935425
loss: 125.677177  [3520064/3920639]  time: 4.034976959228516
loss: 147.041077  [3584064/3920639]  time: 4.039365291595459
loss: 142.110931  [3648064/3920639]  time: 4.006839990615845
loss: 152.965363  [3712064/3920639]  time: 3.988431215286255
loss: 131.611328  [3776064/3920639]  time: 4.023251056671143
loss: 168.975403  [3840064/3920639]  time: 4.0691001415252686
loss: 92.722374  [3904064/3920639]  time: 4.006645917892456
Test Error: 
 Accuracy: 332.4%, Avg loss: 141.284769 

Current learning rate: 0.0001
