Beginning of Training Log File
[------------- EPOCH 1 -------------]
loss: 35.910206  [   32/96024]  time: 0.28737592697143555
loss: 35.884796  [ 3232/96024]  time: 0.4176812171936035
loss: 35.888618  [ 6432/96024]  time: 0.39937376976013184
loss: 35.855247  [ 9632/96024]  time: 0.4047839641571045
loss: 35.793869  [12832/96024]  time: 0.39880824089050293
loss: 35.814407  [16032/96024]  time: 0.39512014389038086
loss: 35.649872  [19232/96024]  time: 0.40322375297546387
loss: 35.520676  [22432/96024]  time: 0.3998410701751709
loss: 35.454315  [25632/96024]  time: 0.3991541862487793
loss: 35.078857  [28832/96024]  time: 0.3999669551849365
loss: 34.743690  [32032/96024]  time: 0.40203380584716797
loss: 34.615879  [35232/96024]  time: 0.4079477787017822
loss: 34.413582  [38432/96024]  time: 0.40070509910583496
loss: 34.593605  [41632/96024]  time: 0.3967738151550293
loss: 33.747463  [44832/96024]  time: 0.40917205810546875
loss: 33.545631  [48032/96024]  time: 0.4053471088409424
loss: 33.280739  [51232/96024]  time: 0.3963510990142822
loss: 33.637154  [54432/96024]  time: 0.39011383056640625
loss: 33.621277  [57632/96024]  time: 0.392894983291626
loss: 33.072880  [60832/96024]  time: 0.38193392753601074
loss: 33.355721  [64032/96024]  time: 0.4030280113220215
loss: 32.894138  [67232/96024]  time: 0.4044480323791504
loss: 32.314499  [70432/96024]  time: 0.4122769832611084
loss: 32.953472  [73632/96024]  time: 0.38593387603759766
loss: 32.741974  [76832/96024]  time: 0.39525294303894043
loss: 32.408504  [80032/96024]  time: 0.40778326988220215
loss: 32.453880  [83232/96024]  time: 0.40621280670166016
loss: 32.427559  [86432/96024]  time: 0.4047212600708008
loss: 31.745081  [89632/96024]  time: 0.3956441879272461
loss: 32.265381  [92832/96024]  time: 0.3890678882598877
loss: 31.404840  [96024/96024]  time: 0.44632697105407715
Test Error: 
 Accuracy: 50.9%, Avg loss: 31.562221 

Current learning rate: 1e-05
